county,precinct,office,district,party,candidate,mail_votes,early_votes,poll_votes,total_votes
Grand,2081325001,President,,ACP,Virgil Goode,1,0,0,1
Grand,2081325001,President,,DEM,Barack Obama,191,13,71,275
Grand,2081325001,President,,REP,Mitt Romney,240,36,73,349
Grand,2081325001,President,,LBT,Gary Johnson,1,0,1,2
Grand,2081325001,President,,GRN,Jill Stein,0,0,0,0
Grand,2081325001,President,,SOC,Stewart Alexander,0,0,0,0
Grand,2081325001,President,,JUS,Ross Anderson,0,0,0,0
Grand,2081325001,President,,PFP,Roseanne Barr,1,0,2,3
Grand,2081325001,President,,SWP,James Harris,0,0,0,0
Grand,2081325001,President,,AIP,Tom Hoefling,0,0,0,0
Grand,2081325001,President,,SAL,Gloria La Riva,0,0,0,0
Grand,2081325001,President,,ATP,Merlin Miller,0,0,0,0
Grand,2081325001,President,,UNA,Jill Reed,0,0,0,0
Grand,2081325001,President,,OBJ,Thomas Stevens,0,0,0,0
Grand,2081325001,President,,WTP,Sheila Tittle,0,0,0,0
Grand,2081325001,President,,SEP,Jerry White,0,0,0,0
Grand,2081325001,President,,,Write-in,0,0,0,0
Grand,2081325001,President,,Voters,Over Vote,0,0,0,0
Grand,2081325001,President,,Voters,Under Vote,1,0,0,1
Grand,2081325001,President,,Voters,ballots,435,49,147,631
Grand,2081325002,President,,ACP,Virgil Goode,0,0,0,0
Grand,2081325002,President,,DEM,Barack Obama,222,33,78,333
Grand,2081325002,President,,REP,Mitt Romney,368,59,143,570
Grand,2081325002,President,,LBT,Gary Johnson,10,0,5,15
Grand,2081325002,President,,GRN,Jill Stein,2,0,1,3
Grand,2081325002,President,,SOC,Stewart Alexander,1,0,0,1
Grand,2081325002,President,,JUS,Ross Anderson,2,0,0,2
Grand,2081325002,President,,PFP,Roseanne Barr,0,1,1,2
Grand,2081325002,President,,SWP,James Harris,0,0,0,0
Grand,2081325002,President,,AIP,Tom Hoefling,0,0,0,0
Grand,2081325002,President,,SAL,Gloria La Riva,0,0,0,0
Grand,2081325002,President,,ATP,Merlin Miller,0,0,0,0
Grand,2081325002,President,,UNA,Jill Reed,1,0,0,1
Grand,2081325002,President,,OBJ,Thomas Stevens,0,0,0,0
Grand,2081325002,President,,WTP,Sheila Tittle,0,0,0,0
Grand,2081325002,President,,SEP,Jerry White,0,0,0,0
Grand,2081325002,President,,,Write-in,0,0,0,0
Grand,2081325002,President,,Voters,Over Vote,0,0,1,1
Grand,2081325002,President,,Voters,Under Vote,4,0,4,8
Grand,2081325002,President,,Voters,ballots,610,93,233,936
Grand,2081325003,President,,ACP,Virgil Goode,6,0,2,8
Grand,2081325003,President,,DEM,Barack Obama,330,33,95,458
Grand,2081325003,President,,REP,Mitt Romney,378,49,149,576
Grand,2081325003,President,,LBT,Gary Johnson,12,1,10,23
Grand,2081325003,President,,GRN,Jill Stein,6,0,2,8
