precinct,office,district,party,candidate,votes,mail_ballots,total_ballots,registered_voters,pct_turnout
101,U.S. House,4,DEM,Brandon Shaffer,30,30,30,98,30.61%
102,U.S. House,4,DEM,Brandon Shaffer,57,57,57,351,16.24%
103,U.S. House,4,DEM,Brandon Shaffer,43,43,43,345,12.46%
104,U.S. House,4,DEM,Brandon Shaffer,30,30,30,100,30.00%
105,U.S. House,4,DEM,Brandon Shaffer,116,117,117,344,34.01%
107,U.S. House,4,DEM,Brandon Shaffer,28,30,30,119,25.21%
109,U.S. House,4,DEM,Brandon Shaffer,54,56,56,252,22.22%
111,U.S. House,4,DEM,Brandon Shaffer,36,36,36,236,15.25%
112,U.S. House,4,DEM,Brandon Shaffer,55,57,57,269,21.19%
113,U.S. House,4,DEM,Brandon Shaffer,46,48,48,221,21.72%
114,U.S. House,4,DEM,Brandon Shaffer,86,88,88,308,28.57%
206,U.S. House,4,DEM,Brandon Shaffer,33,33,33,175,18.86%
207,U.S. House,4,DEM,Brandon Shaffer,49,51,51,222,22.97%
232,U.S. House,4,DEM,Brandon Shaffer,52,52,52,191,27.23%
233,U.S. House,4,DEM,Brandon Shaffer,35,35,35,172,20.35%
245,U.S. House,4,DEM,Brandon Shaffer,83,83,83,306,27.12%
257,U.S. House,4,DEM,Brandon Shaffer,87,88,88,342,25.73%
258,U.S. House,4,DEM,Brandon Shaffer,33,33,33,210,15.71%
259,U.S. House,4,DEM,Brandon Shaffer,37,38,38,185,20.54%
260,U.S. House,4,DEM,Brandon Shaffer,61,62,62,319,19.44%
261,U.S. House,4,DEM,Brandon Shaffer,67,67,67,263,25.48%
262,U.S. House,4,DEM,Brandon Shaffer,65,65,65,241,26.97%
263,U.S. House,4,DEM,Brandon Shaffer,60,62,62,217,28.57%
264,U.S. House,4,DEM,Brandon Shaffer,43,43,43,228,18.86%
301,U.S. House,4,DEM,Brandon Shaffer,49,50,50,219,22.83%
302,U.S. House,4,DEM,Brandon Shaffer,35,37,37,222,16.67%
303,U.S. House,4,DEM,Brandon Shaffer,69,70,70,349,20.06%
304,U.S. House,4,DEM,Brandon Shaffer,29,30,30,180,16.67%
306,U.S. House,4,DEM,Brandon Shaffer,41,42,42,147,28.57%
307,U.S. House,4,DEM,Brandon Shaffer,64,66,66,214,30.84%
308,U.S. House,4,DEM,Brandon Shaffer,44,44,44,231,19.05%
309,U.S. House,4,DEM,Brandon Shaffer,29,33,33,214,15.42%
311,U.S. House,4,DEM,Brandon Shaffer,37,38,38,170,22.35%
312,U.S. House,4,DEM,Brandon Shaffer,41,42,42,222,18.92%
313,U.S. House,4,DEM,Brandon Shaffer,26,26,26,152,17.11%
315,U.S. House,4,DEM,Brandon Shaffer,44,46,46,251,18.33%
316,U.S. House,4,DEM,Brandon Shaffer,69,69,69,313,22.04%
318,U.S. House,4,DEM,Brandon Shaffer,24,26,26,171,15.20%
319,U.S. House,4,DEM,Brandon Shaffer,35,35,35,194,18.04%
321,U.S. House,4,DEM,Brandon Shaffer,44,46,46,239,19.25%
322,U.S. House,4,DEM,Brandon Shaffer,33,35,35,204,17.16%
324,U.S. House,4,DEM,Brandon Shaffer,29,30,30,207,14.49%
325,U.S. House,4,DEM,Brandon Shaffer,40,43,43,170,25.29%
326,U.S. House,4,DEM,Brandon Shaffer,48,49,49,259,18.92%
327,U.S. House,4,DEM,Brandon Shaffer,45,46,46,182,25.27%
328,U.S. House,4,DEM,Brandon Shaffer,57,58,58,303,19.14%
329,U.S. House,4,DEM,Brandon Shaffer,54,55,55,276,19.93%
330,U.S. House,4,DEM,Brandon Shaffer,25,25,25,125,20.00%
331,U.S. House,4,DEM,Brandon Shaffer,30,31,31,199,15.58%
332,U.S. House,4,DEM,Brandon Shaffer,65,66,66,241,27.39%
333,U.S. House,4,DEM,Brandon Shaffer,31,31,31,114,27.19%
