county,office,district,party,candidate,votes
ADAMS,U.S. Senate,,DEM,Tom Strickland,5513
ALAMOSA,U.S. Senate,,DEM,Tom Strickland,520
ARAPAHOE,U.S. Senate,,DEM,Tom Strickland,12476
ARCHULETA,U.S. Senate,,DEM,Tom Strickland,176
BACA,U.S. Senate,,DEM,Tom Strickland,670
BENT,U.S. Senate,,DEM,Tom Strickland,332
BOULDER,U.S. Senate,,DEM,Tom Strickland,8114
BROOMFIELD,U.S. Senate,,DEM,Tom Strickland,732
CHAFFEE,U.S. Senate,,DEM,Tom Strickland,467
CHEYENNE,U.S. Senate,,DEM,Tom Strickland,69
CLEAR CREEK,U.S. Senate,,DEM,Tom Strickland,149
CONEJOS,U.S. Senate,,DEM,Tom Strickland,805
COSTILLA,U.S. Senate,,DEM,Tom Strickland,855
CROWLEY,U.S. Senate,,DEM,Tom Strickland,141
CUSTER,U.S. Senate,,DEM,Tom Strickland,98
DELTA,U.S. Senate,,DEM,Tom Strickland,397
DENVER,U.S. Senate,,DEM,Tom Strickland,27879
DOLORES,U.S. Senate,,DEM,Tom Strickland,191
DOUGLAS,U.S. Senate,,DEM,Tom Strickland,2345
EAGLE,U.S. Senate,,DEM,Tom Strickland,402
ELBERT,U.S. Senate,,DEM,Tom Strickland,302
EL PASO,U.S. Senate,,DEM,Tom Strickland,2671
FREMONT,U.S. Senate,,DEM,Tom Strickland,739
GARFIELD,U.S. Senate,,DEM,Tom Strickland,198
GILPIN,U.S. Senate,,DEM,Tom Strickland,69
GRAND,U.S. Senate,,DEM,Tom Strickland,300
GUNNISON,U.S. Senate,,DEM,Tom Strickland,147
HINSDALE,U.S. Senate,,DEM,Tom Strickland,6
HUERFANO,U.S. Senate,,DEM,Tom Strickland,1078
JACKSON,U.S. Senate,,DEM,Tom Strickland,47
JEFFERSON,U.S. Senate,,DEM,Tom Strickland,16178
KIOWA,U.S. Senate,,DEM,Tom Strickland,188
KIT CARSON,U.S. Senate,,DEM,Tom Strickland,219
LAKE,U.S. Senate,,DEM,Tom Strickland,497
LARIMER,U.S. Senate,,DEM,Tom Strickland,5254
LAS ANIMAS,U.S. Senate,,DEM,Tom Strickland,1556
LA PLATA,U.S. Senate,,DEM,Tom Strickland,1394
LINCOLN,U.S. Senate,,DEM,Tom Strickland,162
LOGAN,U.S. Senate,,DEM,Tom Strickland,770
MESA,U.S. Senate,,DEM,Tom Strickland,2333
MINERAL,U.S. Senate,,DEM,Tom Strickland,102
MOFFAT,U.S. Senate,,DEM,Tom Strickland,246
MONTEZUMA,U.S. Senate,,DEM,Tom Strickland,531
MONTROSE,U.S. Senate,,DEM,Tom Strickland,262
MORGAN,U.S. Senate,,DEM,Tom Strickland,295
OTERO,U.S. Senate,,DEM,Tom Strickland,170
OURAY,U.S. Senate,,DEM,Tom Strickland,59
PARK,U.S. Senate,,DEM,Tom Strickland,232
PHILLIPS,U.S. Senate,,DEM,Tom Strickland,77
PITKIN,U.S. Senate,,DEM,Tom Strickland,444
PROWERS,U.S. Senate,,DEM,Tom Strickland,82
PUEBLO,U.S. Senate,,DEM,Tom Strickland,6151
RIO BLANCO,U.S. Senate,,DEM,Tom Strickland,124
RIO GRANDE,U.S. Senate,,DEM,Tom Strickland,494
ROUTT,U.S. Senate,,DEM,Tom Strickland,145
SAGUACHE,U.S. Senate,,DEM,Tom Strickland,209
SAN JUAN,U.S. Senate,,DEM,Tom Strickland,6
SAN MIGUEL,U.S. Senate,,DEM,Tom Strickland,179
SEDGWICK,U.S. Senate,,DEM,Tom Strickland,71
SUMMIT,U.S. Senate,,DEM,Tom Strickland,188
TELLER,U.S. Senate,,DEM,Tom Strickland,304
WASHINGTON,U.S. Senate,,DEM,Tom Strickland,108
WELD,U.S. Senate,,DEM,Tom Strickland,3182
YUMA,U.S. Senate,,DEM,Tom Strickland,209
TOTALS,U.S. Senate,,DEM,Tom Strickland,110309
ADAMS,U.S. Senate,,DEM,,5513
ALAMOSA,U.S. Senate,,DEM,,520
ARAPAHOE,U.S. Senate,,DEM,,12476
ARCHULETA,U.S. Senate,,DEM,,176
BACA,U.S. Senate,,DEM,,670
BENT,U.S. Senate,,DEM,,332
BOULDER,U.S. Senate,,DEM,,8114
BROOMFIELD,U.S. Senate,,DEM,,732
CHAFFEE,U.S. Senate,,DEM,,467
CHEYENNE,U.S. Senate,,DEM,,69
CLEAR CREEK,U.S. Senate,,DEM,,149
CONEJOS,U.S. Senate,,DEM,,805
COSTILLA,U.S. Senate,,DEM,,855
CROWLEY,U.S. Senate,,DEM,,141
CUSTER,U.S. Senate,,DEM,,98
DELTA,U.S. Senate,,DEM,,397
DENVER,U.S. Senate,,DEM,,27879
DOLORES,U.S. Senate,,DEM,,191
DOUGLAS,U.S. Senate,,DEM,,2345
EAGLE,U.S. Senate,,DEM,,402
ELBERT,U.S. Senate,,DEM,,302
EL PASO,U.S. Senate,,DEM,,2671
FREMONT,U.S. Senate,,DEM,,739
GARFIELD,U.S. Senate,,DEM,,198
GILPIN,U.S. Senate,,DEM,,69
GRAND,U.S. Senate,,DEM,,300
GUNNISON,U.S. Senate,,DEM,,147
HINSDALE,U.S. Senate,,DEM,,6
HUERFANO,U.S. Senate,,DEM,,1078
JACKSON,U.S. Senate,,DEM,,47
JEFFERSON,U.S. Senate,,DEM,,16178
KIOWA,U.S. Senate,,DEM,,188
KIT CARSON,U.S. Senate,,DEM,,219
LAKE,U.S. Senate,,DEM,,497
LARIMER,U.S. Senate,,DEM,,5254
LAS ANIMAS,U.S. Senate,,DEM,,1556
LA PLATA,U.S. Senate,,DEM,,1394
LINCOLN,U.S. Senate,,DEM,,162
LOGAN,U.S. Senate,,DEM,,770
MESA,U.S. Senate,,DEM,,2333
MINERAL,U.S. Senate,,DEM,,102
MOFFAT,U.S. Senate,,DEM,,246
MONTEZUMA,U.S. Senate,,DEM,,531
MONTROSE,U.S. Senate,,DEM,,262
MORGAN,U.S. Senate,,DEM,,295
OTERO,U.S. Senate,,DEM,,170
OURAY,U.S. Senate,,DEM,,59
PARK,U.S. Senate,,DEM,,232
PHILLIPS,U.S. Senate,,DEM,,77
PITKIN,U.S. Senate,,DEM,,444
PROWERS,U.S. Senate,,DEM,,82
PUEBLO,U.S. Senate,,DEM,,6151
RIO BLANCO,U.S. Senate,,DEM,,124
RIO GRANDE,U.S. Senate,,DEM,,494
ROUTT,U.S. Senate,,DEM,,145
SAGUACHE,U.S. Senate,,DEM,,209
SAN JUAN,U.S. Senate,,DEM,,6
SAN MIGUEL,U.S. Senate,,DEM,,179
SEDGWICK,U.S. Senate,,DEM,,71
SUMMIT,U.S. Senate,,DEM,,188
TELLER,U.S. Senate,,DEM,,304
WASHINGTON,U.S. Senate,,DEM,,108
WELD,U.S. Senate,,DEM,,3182
YUMA,U.S. Senate,,DEM,,209
TOTALS,U.S. Senate,,DEM,,110309
ADAMS,U.S. House,1,DEM,Diana DeGette,0
ARAPAHOE,U.S. House,1,DEM,Diana DeGette,1397
DENVER,U.S. House,1,DEM,Diana DeGette,23129
JEFFERSON,U.S. House,1,DEM,Diana DeGette,0
TOTALS,U.S. House,1,DEM,Diana DeGette,24526
ADAMS,U.S. House,1,DEM,Ramona E. Martinez,0
ARAPAHOE,U.S. House,1,DEM,Ramona E. Martinez,316
DENVER,U.S. House,1,DEM,Ramona E. Martinez,8537
