State	Year	Election Type	County	Office	Candidate	Party	Votes
Colorado	2014	P	Adams	Attorney General	Don Quick	Democratic Party	"14,692"
Colorado	2014	P	Alamosa	Attorney General	Don Quick	Democratic Party	678
Colorado	2014	P	Arapahoe	Attorney General	Don Quick	Democratic Party	"20,526"
Colorado	2014	P	Archuleta	Attorney General	Don Quick	Democratic Party	453
Colorado	2014	P	Baca	Attorney General	Don Quick	Democratic Party	220
Colorado	2014	P	Bent	Attorney General	Don Quick	Democratic Party	232
Colorado	2014	P	Boulder	Attorney General	Don Quick	Democratic Party	"19,213"
Colorado	2014	P	Broomfield	Attorney General	Don Quick	Democratic Party	"2,621"
Colorado	2014	P	Chaffee	Attorney General	Don Quick	Democratic Party	919
Colorado	2014	P	Cheyenne	Attorney General	Don Quick	Democratic Party	35
Colorado	2014	P	Clear Creek	Attorney General	Don Quick	Democratic Party	503
Colorado	2014	P	Conejos	Attorney General	Don Quick	Democratic Party	699
Colorado	2014	P	Costilla	Attorney General	Don Quick	Democratic Party	697
Colorado	2014	P	Crowley	Attorney General	Don Quick	Democratic Party	117
Colorado	2014	P	Custer	Attorney General	Don Quick	Democratic Party	169
Colorado	2014	P	Delta	Attorney General	Don Quick	Democratic Party	853
Colorado	2014	P	Denver	Attorney General	Don Quick	Democratic Party	"35,261"
Colorado	2014	P	Dolores	Attorney General	Don Quick	Democratic Party	77
Colorado	2014	P	Douglas	Attorney General	Don Quick	Democratic Party	"7,949"
Colorado	2014	P	Eagle	Attorney General	Don Quick	Democratic Party	"1,234"
Colorado	2014	P	El Paso	Attorney General	Don Quick	Democratic Party	"14,135"
Colorado	2014	P	Elbert	Attorney General	Don Quick	Democratic Party	506
Colorado	2014	P	Fremont	Attorney General	Don Quick	Democratic Party	"1,369"
Colorado	2014	P	Garfield	Attorney General	Don Quick	Democratic Party	"1,338"
Colorado	2014	P	Gilpin	Attorney General	Don Quick	Democratic Party	248
Colorado	2014	P	Grand	Attorney General	Don Quick	Democratic Party	452
Colorado	2014	P	Gunnison	Attorney General	Don Quick	Democratic Party	605
Colorado	2014	P	Hinsdale	Attorney General	Don Quick	Democratic Party	28
Colorado	2014	P	Huerfano	Attorney General	Don Quick	Democratic Party	752
Colorado	2014	P	Jackson	Attorney General	Don Quick	Democratic Party	36
Colorado	2014	P	Jefferson	Attorney General	Don Quick	Democratic Party	"23,285"
Colorado	2014	P	Kiowa	Attorney General	Don Quick	Democratic Party	43
Colorado	2014	P	Kit Carson	Attorney General	Don Quick	Democratic Party	176
Colorado	2014	P	La Plata	Attorney General	Don Quick	Democratic Party	"2,066"
Colorado	2014	P	Lake	Attorney General	Don Quick	Democratic Party	430
Colorado	2014	P	Larimer	Attorney General	Don Quick	Democratic Party	"12,317"
Colorado	2014	P	Las Animas	Attorney General	Don Quick	Democratic Party	"1,182"
Colorado	2014	P	Lincoln	Attorney General	Don Quick	Democratic Party	117
Colorado	2014	P	Logan	Attorney General	Don Quick	Democratic Party	595
Colorado	2014	P	Mesa	Attorney General	Don Quick	Democratic Party	"4,381"
Colorado	2014	P	Mineral	Attorney General	Don Quick	Democratic Party	76
Colorado	2014	P	Moffat	Attorney General	Don Quick	Democratic Party	205
Colorado	2014	P	Montezuma	Attorney General	Don Quick	Democratic Party	784
Colorado	2014	P	Montrose	Attorney General	Don Quick	Democratic Party	"1,122"
Colorado	2014	P	Morgan	Attorney General	Don Quick	Democratic Party	750
Colorado	2014	P	Otero	Attorney General	Don Quick	Democratic Party	792
Colorado	2014	P	Ouray	Attorney General	Don Quick	Democratic Party	261
Colorado	2014	P	Park	Attorney General	Don Quick	Democratic Party	509
Colorado	2014	P	Phillips	Attorney General	Don Quick	Democratic Party	123
Colorado	2014	P	Pitkin	Attorney General	Don Quick	Democratic Party	690
Colorado	2014	P	Prowers	Attorney General	Don Quick	Democratic Party	298
Colorado	2014	P	Pueblo	Attorney General	Don Quick	Democratic Party	"9,692"
Colorado	2014	P	Rio Blanco	Attorney General	Don Quick	Democratic Party	89
Colorado	2014	P	Rio Grande	Attorney General	Don Quick	Democratic Party	609
Colorado	2014	P	Routt	Attorney General	Don Quick	Democratic Party	714
Colorado	2014	P	Saguache	Attorney General	Don Quick	Democratic Party	413
Colorado	2014	P	San Juan	Attorney General	Don Quick	Democratic Party	36
Colorado	2014	P	San Miguel	Attorney General	Don Quick	Democratic Party	260
Colorado	2014	P	Sedgwick	Attorney General	Don Quick	Democratic Party	84
Colorado	2014	P	Summit	Attorney General	Don Quick	Democratic Party	818
Colorado	2014	P	Teller	Attorney General	Don Quick	Democratic Party	712
Colorado	2014	P	Washington	Attorney General	Don Quick	Democratic Party	88
Colorado	2014	P	Weld	Attorney General	Don Quick	Democratic Party	"6,060"
Colorado	2014	P	Yuma	Attorney General	Don Quick	Democratic Party	251
Colorado	2014	P	Adams	Attorney General	Cynthia Coffman	Republican Party	"15,379"
Colorado	2014	P	Alamosa	Attorney General	Cynthia Coffman	Republican Party	735
Colorado	2014	P	Arapahoe	Attorney General	Cynthia Coffman	Republican Party	"34,032"
Colorado	2014	P	Archuleta	Attorney General	Cynthia Coffman	Republican Party	"1,536"
Colorado	2014	P	Baca	Attorney General	Cynthia Coffman	Republican Party	485
Colorado	2014	P	Bent	Attorney General	Cynthia Coffman	Republican Party	434
Colorado	2014	P	Boulder	Attorney General	Cynthia Coffman	Republican Party	"11,773"
Colorado	2014	P	Broomfield	Attorney General	Cynthia Coffman	Republican Party	"4,083"
Colorado	2014	P	Chaffee	Attorney General	Cynthia Coffman	Republican Party	"1,665"
Colorado	2014	P	Cheyenne	Attorney General	Cynthia Coffman	Republican Party	367
Colorado	2014	P	Clear Creek	Attorney General	Cynthia Coffman	Republican Party	616
Colorado	2014	P	Conejos	Attorney General	Cynthia Coffman	Republican Party	487
Colorado	2014	P	Costilla	Attorney General	Cynthia Coffman	Republican Party	120
Colorado	2014	P	Crowley	Attorney General	Cynthia Coffman	Republican Party	469
Colorado	2014	P	Custer	Attorney General	Cynthia Coffman	Republican Party	"1,070"
