office,district,party,county,candidate,votes,winner
U.S. House,1,Democratic Party,ARAPAHOE,Diana DeGette,5012,
U.S. House,1,Democratic Party,DENVER,Diana DeGette,80081,
U.S. House,1,Democratic Party,JEFFERSON,Diana DeGette,6009,
U.S. House,1,Democratic Party,ARAPAHOE,Saira Rao,2074,
U.S. House,1,Democratic Party,DENVER,Saira Rao,38136,
U.S. House,1,Democratic Party,JEFFERSON,Saira Rao,2188,
U.S. House,1,Republican Party,ARAPAHOE,Charles Casper Stockham,2993,
U.S. House,1,Republican Party,DENVER,Charles Casper Stockham,19044,
U.S. House,1,Republican Party,JEFFERSON,Charles Casper Stockham,7896,
U.S. House,2,Democratic Party,BOULDER,Joe Neguse,31717,
U.S. House,2,Democratic Party,BROOMFIELD,Joe Neguse,6420,
U.S. House,2,Democratic Party,CLEAR CREEK,Joe Neguse,965,
U.S. House,2,Democratic Party,EAGLE,Joe Neguse,710,
U.S. House,2,Democratic Party,GILPIN,Joe Neguse,527,
U.S. House,2,Democratic Party,GRAND,Joe Neguse,881,
U.S. House,2,Democratic Party,JEFFERSON,Joe Neguse,8018,
U.S. House,2,Democratic Party,LARIMER,Joe Neguse,24928,
U.S. House,2,Democratic Party,PARK,Joe Neguse,449,
U.S. House,2,Democratic Party,SUMMIT,Joe Neguse,2214,
U.S. House,2,Democratic Party,BOULDER,Mark Williams,17690,
U.S. House,2,Democratic Party,BROOMFIELD,Mark Williams,3323,
U.S. House,2,Democratic Party,CLEAR CREEK,Mark Williams,412,
U.S. House,2,Democratic Party,EAGLE,Mark Williams,481,
U.S. House,2,Democratic Party,GILPIN,Mark Williams,327,
U.S. House,2,Democratic Party,GRAND,Mark Williams,530,
U.S. House,2,Democratic Party,JEFFERSON,Mark Williams,3393,
U.S. House,2,Democratic Party,LARIMER,Mark Williams,12525,
U.S. House,2,Democratic Party,PARK,Mark Williams,243,
U.S. House,2,Democratic Party,SUMMIT,Mark Williams,1120,
U.S. House,2,Republican Party,BOULDER,Peter Yu,7297,
U.S. House,2,Republican Party,BROOMFIELD,Peter Yu,4966,
U.S. House,2,Republican Party,CLEAR CREEK,Peter Yu,756,
U.S. House,2,Republican Party,EAGLE,Peter Yu,353,
U.S. House,2,Republican Party,GILPIN,Peter Yu,466,
U.S. House,2,Republican Party,GRAND,Peter Yu,1255,
U.S. House,2,Republican Party,JEFFERSON,Peter Yu,7956,
U.S. House,2,Republican Party,LARIMER,Peter Yu,20255,
U.S. House,2,Republican Party,PARK,Peter Yu,1385,
U.S. House,2,Republican Party,SUMMIT,Peter Yu,1281,
U.S. House,3,Democratic Party,ALAMOSA,Diane Mitsch Bush,915,
U.S. House,3,Democratic Party,ARCHULETA,Diane Mitsch Bush,714,
U.S. House,3,Democratic Party,CONEJOS,Diane Mitsch Bush,514,
U.S. House,3,Democratic Party,COSTILLA,Diane Mitsch Bush,562,
U.S. House,3,Democratic Party,CUSTER,Diane Mitsch Bush,310,
U.S. House,3,Democratic Party,DELTA,Diane Mitsch Bush,1552,
U.S. House,3,Democratic Party,DOLORES,Diane Mitsch Bush,90,
U.S. House,3,Democratic Party,EAGLE,Diane Mitsch Bush,2818,
U.S. House,3,Democratic Party,GARFIELD,Diane Mitsch Bush,3052,
U.S. House,3,Democratic Party,GUNNISON,Diane Mitsch Bush,1334,
U.S. House,3,Democratic Party,HINSDALE,Diane Mitsch Bush,42,
U.S. House,3,Democratic Party,HUERFANO,Diane Mitsch Bush,723,
U.S. House,3,Democratic Party,JACKSON,Diane Mitsch Bush,37,
U.S. House,3,Democratic Party,LA PLATA,Diane Mitsch Bush,3409,
U.S. House,3,Democratic Party,LAKE,Diane Mitsch Bush,409,
U.S. House,3,Democratic Party,MESA,Diane Mitsch Bush,6800,
U.S. House,3,Democratic Party,MINERAL,Diane Mitsch Bush,127,
U.S. House,3,Democratic Party,MOFFAT,Diane Mitsch Bush,247,
U.S. House,3,Democratic Party,MONTEZUMA,Diane Mitsch Bush,1311,
U.S. House,3,Democratic Party,MONTROSE,Diane Mitsch Bush,1808,
U.S. House,3,Democratic Party,OURAY,Diane Mitsch Bush,547,
U.S. House,3,Democratic Party,PITKIN,Diane Mitsch Bush,1525,
U.S. House,3,Democratic Party,PUEBLO,Diane Mitsch Bush,10547,
U.S. House,3,Democratic Party,RIO BLANCO,Diane Mitsch Bush,109,
U.S. House,3,Democratic Party,RIO GRANDE,Diane Mitsch Bush,549,
U.S. House,3,Democratic Party,ROUTT,Diane Mitsch Bush,3251,
U.S. House,3,Democratic Party,SAGUACHE,Diane Mitsch Bush,539,
U.S. House,3,Democratic Party,SAN JUAN,Diane Mitsch Bush,76,
U.S. House,3,Democratic Party,SAN MIGUEL,Diane Mitsch Bush,892,
U.S. House,3,Democratic Party,ALAMOSA,Karl Hanlon,330,
U.S. House,3,Democratic Party,ARCHULETA,Karl Hanlon,236,
U.S. House,3,Democratic Party,CONEJOS,Karl Hanlon,263,
U.S. House,3,Democratic Party,COSTILLA,Karl Hanlon,262,
U.S. House,3,Democratic Party,CUSTER,Karl Hanlon,64,
U.S. House,3,Democratic Party,DELTA,Karl Hanlon,490,
U.S. House,3,Democratic Party,DOLORES,Karl Hanlon,33,
U.S. House,3,Democratic Party,EAGLE,Karl Hanlon,633,
U.S. House,3,Democratic Party,GARFIELD,Karl Hanlon,1721,
U.S. House,3,Democratic Party,GUNNISON,Karl Hanlon,375,
U.S. House,3,Democratic Party,HINSDALE,Karl Hanlon,12,
U.S. House,3,Democratic Party,HUERFANO,Karl Hanlon,299,
U.S. House,3,Democratic Party,JACKSON,Karl Hanlon,16,
U.S. House,3,Democratic Party,LA PLATA,Karl Hanlon,2309,
U.S. House,3,Democratic Party,LAKE,Karl Hanlon,214,
U.S. House,3,Democratic Party,MESA,Karl Hanlon,2873,
U.S. House,3,Democratic Party,MINERAL,Karl Hanlon,60,
U.S. House,3,Democratic Party,MOFFAT,Karl Hanlon,94,
U.S. House,3,Democratic Party,MONTEZUMA,Karl Hanlon,507,
U.S. House,3,Democratic Party,MONTROSE,Karl Hanlon,632,
U.S. House,3,Democratic Party,OURAY,Karl Hanlon,193,
U.S. House,3,Democratic Party,PITKIN,Karl Hanlon,944,
U.S. House,3,Democratic Party,PUEBLO,Karl Hanlon,5896,
U.S. House,3,Democratic Party,RIO BLANCO,Karl Hanlon,27,
U.S. House,3,Democratic Party,RIO GRANDE,Karl Hanlon,221,
U.S. House,3,Democratic Party,ROUTT,Karl Hanlon,186,
U.S. House,3,Democratic Party,SAGUACHE,Karl Hanlon,155,
U.S. House,3,Democratic Party,SAN JUAN,Karl Hanlon,23,
U.S. House,3,Democratic Party,SAN MIGUEL,Karl Hanlon,300,
U.S. House,3,Democratic Party,ALAMOSA,Arn Menconi,176,
U.S. House,3,Democratic Party,ARCHULETA,Arn Menconi,97,
U.S. House,3,Democratic Party,CONEJOS,Arn Menconi,126,
U.S. House,3,Democratic Party,COSTILLA,Arn Menconi,131,
U.S. House,3,Democratic Party,CUSTER,Arn Menconi,24,
U.S. House,3,Democratic Party,DELTA,Arn Menconi,204,
U.S. House,3,Democratic Party,DOLORES,Arn Menconi,7,
U.S. House,3,Democratic Party,EAGLE,Arn Menconi,544,
U.S. House,3,Democratic Party,GARFIELD,Arn Menconi,360,
U.S. House,3,Democratic Party,GUNNISON,Arn Menconi,130,
U.S. House,3,Democratic Party,HINSDALE,Arn Menconi,0,
U.S. House,3,Democratic Party,HUERFANO,Arn Menconi,96,
U.S. House,3,Democratic Party,JACKSON,Arn Menconi,4,
U.S. House,3,Democratic Party,LA PLATA,Arn Menconi,409,
U.S. House,3,Democratic Party,LAKE,Arn Menconi,116,
U.S. House,3,Democratic Party,MESA,Arn Menconi,704,
U.S. House,3,Democratic Party,MINERAL,Arn Menconi,14,
U.S. House,3,Democratic Party,MOFFAT,Arn Menconi,32,
U.S. House,3,Democratic Party,MONTEZUMA,Arn Menconi,155,
U.S. House,3,Democratic Party,MONTROSE,Arn Menconi,134,
U.S. House,3,Democratic Party,OURAY,Arn Menconi,60,
U.S. House,3,Democratic Party,PITKIN,Arn Menconi,129,
U.S. House,3,Democratic Party,PUEBLO,Arn Menconi,1751,
U.S. House,3,Democratic Party,RIO BLANCO,Arn Menconi,18,
U.S. House,3,Democratic Party,RIO GRANDE,Arn Menconi,96,
U.S. House,3,Democratic Party,ROUTT,Arn Menconi,76,
U.S. House,3,Democratic Party,SAGUACHE,Arn Menconi,75,
U.S. House,3,Democratic Party,SAN JUAN,Arn Menconi,6,
U.S. House,3,Democratic Party,SAN MIGUEL,Arn Menconi,80,
U.S. House,3,Republican Party,ALAMOSA,Scott R. Tipton,1359,
U.S. House,3,Republican Party,ARCHULETA,Scott R. Tipton,1718,
U.S. House,3,Republican Party,CONEJOS,Scott R. Tipton,974,
U.S. House,3,Republican Party,COSTILLA,Scott R. Tipton,168,
U.S. House,3,Republican Party,CUSTER,Scott R. Tipton,1108,
U.S. House,3,Republican Party,DELTA,Scott R. Tipton,4259,
U.S. House,3,Republican Party,DOLORES,Scott R. Tipton,501,
U.S. House,3,Republican Party,EAGLE,Scott R. Tipton,1727,
U.S. House,3,Republican Party,GARFIELD,Scott R. Tipton,4072,
U.S. House,3,Republican Party,GUNNISON,Scott R. Tipton,912,
U.S. House,3,Republican Party,HINSDALE,Scott R. Tipton,208,
U.S. House,3,Republican Party,HUERFANO,Scott R. Tipton,655,
U.S. House,3,Republican Party,JACKSON,Scott R. Tipton,368,
