county,office,district,party,candidate,votes,no_votes
ARAPAHOE,U.S. House,1,Republican Party,Charles Casper Stockham,8300,
DENVER,U.S. House,1,Republican Party,Charles Casper Stockham,57186,
JEFFERSON,U.S. House,1,Republican Party,Charles Casper Stockham,19721,
TOTAL,U.S. House,1,Republican Party,Charles Casper Stockham,85207,
ARAPAHOE,U.S. House,1,Democratic Party,Diana DeGette,15645,
DENVER,U.S. House,1,Democratic Party,Diana DeGette,239280,
JEFFERSON,U.S. House,1,Democratic Party,Diana DeGette,17961,
TOTAL,U.S. House,1,Democratic Party,Diana DeGette,272886,
ARAPAHOE,U.S. House,1,Libertarian Party,Raymon Anthony Doane,850,
DENVER,U.S. House,1,Libertarian Party,Raymon Anthony Doane,9583,
JEFFERSON,U.S. House,1,Libertarian Party,Raymon Anthony Doane,1167,
TOTAL,U.S. House,1,Libertarian Party,Raymon Anthony Doane,11600,
ARAPAHOE,U.S. House,1,Democratic Party,Miguel Lopez,3,
DENVER,U.S. House,1,Democratic Party,Miguel Lopez,19,
JEFFERSON,U.S. House,1,Democratic Party,Miguel Lopez,0,
TOTAL,U.S. House,1,Democratic Party,Miguel Lopez,22,
BOULDER,U.S. House,2,Democratic Party,Joe Neguse,100066,
BROOMFIELD,U.S. House,2,Democratic Party,Joe Neguse,20290,
CLEAR CREEK,U.S. House,2,Democratic Party,Joe Neguse,2847,
EAGLE,U.S. House,2,Democratic Party,Joe Neguse,3641,
GILPIN,U.S. House,2,Democratic Party,Joe Neguse,1732,
GRAND,U.S. House,2,Democratic Party,Joe Neguse,3328,
JEFFERSON,U.S. House,2,Democratic Party,Joe Neguse,24426,
LARIMER,U.S. House,2,Democratic Party,Joe Neguse,92787,
PARK,U.S. House,2,Democratic Party,Joe Neguse,1656,
SUMMIT,U.S. House,2,Democratic Party,Joe Neguse,8835,
TOTAL,U.S. House,2,Democratic Party,Joe Neguse,259608,
BOULDER,U.S. House,2,Republican Party,Peter Yu,22169,
BROOMFIELD,U.S. House,2,Republican Party,Peter Yu,13019,
CLEAR CREEK,U.S. House,2,Republican Party,Peter Yu,2062,
EAGLE,U.S. House,2,Republican Party,Peter Yu,1527,
GILPIN,U.S. House,2,Republican Party,Peter Yu,1304,
GRAND,U.S. House,2,Republican Party,Peter Yu,3609,
JEFFERSON,U.S. House,2,Republican Party,Peter Yu,22005,
LARIMER,U.S. House,2,Republican Party,Peter Yu,72558,
PARK,U.S. House,2,Republican Party,Peter Yu,2580,
SUMMIT,U.S. House,2,Republican Party,Peter Yu,4068,
TOTAL,U.S. House,2,Republican Party,Peter Yu,144901,
BOULDER,U.S. House,2,Libertarian Party,Roger Barris,2352,
BROOMFIELD,U.S. House,2,Libertarian Party,Roger Barris,776,
CLEAR CREEK,U.S. House,2,Libertarian Party,Roger Barris,156,
EAGLE,U.S. House,2,Libertarian Party,Roger Barris,142,
GILPIN,U.S. House,2,Libertarian Party,Roger Barris,107,
GRAND,U.S. House,2,Libertarian Party,Roger Barris,222,
JEFFERSON,U.S. House,2,Libertarian Party,Roger Barris,1185,
LARIMER,U.S. House,2,Libertarian Party,Roger Barris,4330,
